CustomerID,tenure,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,PredictedChurn,RiskLevel,RecommendedAction,MonthlyRevenueAtRisk,ChurnProbabilityPct
7590-VHVEG,1,29.85,Month-to-month,DSL,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,29.85,72.02
5575-GNVDE,34,56.95,One year,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,3.04
3668-QPYBK,2,53.85,Month-to-month,DSL,No,Mailed check,1,Medium Risk,Offer contract upgrade incentive,53.85,36.98
7795-CFOCW,45,42.3,One year,DSL,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,3.96
9237-HQITU,2,70.7,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,70.7,66.12
9305-CDSKC,8,99.65,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,99.65,91.87
1452-KIOVK,22,89.1,Month-to-month,Fiber optic,No,Credit card (automatic),1,Medium Risk,Offer contract upgrade incentive,89.1,41.76
6713-OKOMC,10,29.75,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,15.25
7892-POOKP,28,104.8,Month-to-month,Fiber optic,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,104.8,53.7
6388-TABGU,62,56.15,One year,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,2.32
9763-GRSKD,13,49.95,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,18.04
7469-LKBCI,16,18.95,Two year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,0.91
8091-TTVAX,58,100.35,One year,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,19.22
0280-XJGEX,49,103.7,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,103.7,51.27
5129-JLPIS,25,105.5,Month-to-month,Fiber optic,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,105.5,56.3
3655-SNQYZ,69,113.25,Two year,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,3.79
8191-XWSZG,52,20.65,One year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,2.68
9959-WOFKT,71,106.7,Two year,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,6.73
4190-MFLUW,10,55.2,Month-to-month,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,18.71
4183-MYFRB,21,90.05,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,90.05,48.34
8779-QRDMV,1,39.65,Month-to-month,DSL,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,39.65,85.92
1680-VDCWW,12,19.8,One year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,3.22
1066-JKSGK,1,20.15,Month-to-month,No,No internet service,Mailed check,1,Medium Risk,Offer contract upgrade incentive,20.15,43.94
3638-WEABW,58,59.9,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,2.04
6322-HRPFA,49,59.6,Month-to-month,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,9.97
6865-JZNKO,30,55.3,Month-to-month,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,9.59
6467-CHFZW,47,99.35,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,99.35,56.09
8665-UTDHZ,1,30.2,Month-to-month,DSL,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,30.2,60.33
5248-YGIJN,72,90.25,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,0.42
8773-HHUOZ,17,64.7,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,25.6
3841-NFECX,71,96.35,Two year,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.59
4929-XIHVW,2,95.5,Month-to-month,Fiber optic,No,Credit card (automatic),1,High Risk,Offer annual contract discount + proactive support,95.5,80.01
6827-IEAUQ,27,66.15,One year,DSL,Yes,Mailed check,0,Low Risk,Continue regular engagement,0.0,3.03
7310-EGVHZ,1,20.2,Month-to-month,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,31.43
3413-BMNZE,1,45.25,Month-to-month,DSL,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,45.25,58.42
6234-RAAPL,72,99.9,Two year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,0.85
6047-YHPVI,5,69.7,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,69.7,59.96
6572-ADKRS,46,74.8,Month-to-month,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,25.25
5380-WJKOV,34,106.35,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,106.35,50.96
8168-UQWWF,11,97.85,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,High Risk,Offer annual contract discount + proactive support,97.85,89.73
8865-TNMNX,10,49.55,One year,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,8.68
9489-DEDVP,70,69.2,Two year,DSL,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,3.38
9867-JCZSP,17,20.75,One year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,2.23
4671-VJLCL,63,79.85,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.87
4080-IIARD,13,76.2,Month-to-month,DSL,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,24.98
3714-NTNFO,49,84.5,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,84.5,43.78
5948-UJZLF,2,49.25,Month-to-month,DSL,No,Mailed check,1,Medium Risk,Offer contract upgrade incentive,49.25,41.69
7760-OYPDY,2,80.65,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,80.65,69.9
7639-LIAYI,52,79.75,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,2.75
2954-PIBKO,69,64.15,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.16
8012-SOUDQ,43,90.25,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,90.25,45.2
9420-LOJKX,15,99.1,Month-to-month,Fiber optic,No,Credit card (automatic),1,Medium Risk,Offer contract upgrade incentive,99.1,61.91
6575-SUVOI,25,69.5,Month-to-month,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,11.31
7495-OOKFY,8,80.65,Month-to-month,Fiber optic,No,Credit card (automatic),1,High Risk,Offer annual contract discount + proactive support,80.65,70.71
4667-QONEA,60,74.85,One year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,5.6
1658-BYGOY,18,95.45,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,95.45,71.29
8769-KKTPH,63,99.65,One year,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,18.76
5067-XJQFU,66,108.45,One year,Fiber optic,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,25.33
3957-SQXML,34,24.95,Two year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.4
5954-BDFSG,72,107.5,Two year,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,6.72
0434-CSFON,47,100.5,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,100.5,56.44
1215-FIGMP,60,89.9,Month-to-month,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,21.4
0526-SXDJP,72,42.1,Two year,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.35
0557-ASKVU,18,54.4,One year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,8.21
5698-BQJOH,9,94.4,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,94.4,73.11
5122-CYFXA,3,75.3,Month-to-month,DSL,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,75.3,40.47
